
1岁			97年
2岁			98年
3岁			99年
4岁			2000年
5岁			2001年

6岁			2002年-9月 小学入学
7岁			2003年
8岁			2004年
9岁			2005年
10岁		2006年	
11岁		2007年
12岁		2008年-6月 小学毕业

12岁		2008年-9月 初中入学
13岁		2009年
14岁		2010年
15岁		2011年-6月 初中毕业
	
15岁		2011年-9月 高中入学
16岁		2012年
17岁		2013年
18岁		2014年-6月 高中毕业

18岁		2014年-9月	大学		
19岁		2015年	
20岁		2016年
21岁		2017年-6月	毕业
